#{"t_start": 1615384293.0759432, "env_id": "calib_env-v0"}
r,l,t
-212.522259,3,6.425346
-444.104182,7,6.448462
-130.280945,1,6.453093
-344.352098,6,6.47894
-259.468937,3,6.489159
-230.14728,4,6.502683
-237.968359,4,6.516284
-139.418925,2,6.523589
-102.505664,1,6.528028
-180.345776,2,6.542002
-348.668651,5,6.558471
-373.619096,5,6.57456
-300.317974,4,6.588357
-167.141155,2,6.595644
-102.037271,1,6.599923
-108.736264,1,6.604614
-225.800192,3,6.621232
-130.153018,1,6.625572
-100.11193,1,6.630464
-354.652339,5,6.647679
-101.926843,1,6.65215
-104.18364,1,6.656329
-265.901821,3,6.666818
-192.489133,3,6.67696
-296.509169,5,6.699969
-182.89278,2,6.707215
-138.824082,1,6.711968
-182.771079,2,6.719419
-132.831755,2,6.726815
-256.85855,3,6.738347
-286.551849,4,6.751968
-172.967233,2,6.759207
-221.384511,3,6.775913
-175.207841,2,6.783178
-108.079333,1,6.787442
-320.184444,4,6.801021
-229.824383,2,6.808256
-451.345303,7,6.831675
-272.013481,4,6.852226
-437.457781,7,6.875043
-106.176814,1,6.879349
-169.595403,3,6.889507
-222.992062,2,6.897182
-251.810328,4,6.910531
-378.256428,4,6.930899
-102.816149,1,6.9353
-245.939944,4,6.948439
-147.506204,2,6.956123
-261.314752,3,6.966357
-118.607013,1,6.970937
-145.463644,1,6.975451
-372.660771,5,6.99175
-315.282802,4,7.011945
-334.345782,5,7.028651
-373.24118,6,7.049971
-224.702084,3,7.062715
-105.238696,1,7.066974
-102.515493,1,7.071904
-202.79469,4,7.09193
-344.04361,6,7.111792
-200.038682,3,7.122276
-106.787474,1,7.126616
-133.324586,1,7.13133
-145.69504,1,7.135702
-103.911509,1,7.140234
-100.733996,1,7.144403
-228.812713,3,7.161316
-182.535204,2,7.169257
-117.600826,1,7.173904
-127.367899,1,7.178146
-242.708248,2,7.186115
-150.784275,1,7.190441
-162.771811,2,7.197839
-100.438664,1,7.202139
-119.392819,1,7.206452
-393.120555,7,7.229496
-215.554822,3,7.246586
-129.005271,1,7.251076
-538.307266,10,7.284185
-106.025446,1,7.289623
-405.483844,6,7.309094
-106.512178,1,7.319961
-122.329176,1,7.324293
-501.067659,8,7.350083
-262.140518,3,7.360831
-110.699971,1,7.365105
-121.731311,1,7.369556
-225.831339,3,7.37988
-187.981627,2,7.387757
-163.015277,3,7.405154
-181.067519,2,7.412507
-107.924432,1,7.416837
-203.290001,3,7.42749
-300.108801,4,7.440899
-198.214508,2,7.448764
