,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
48,48,0.022828541494077113,2021-05-03 19:52:44.669043,2021-05-03 19:55:13.580609,0 days 00:02:28.911566,64,10000,0.9999,20000,0.08028695066679614,0.09219920345057284,medium,0.001,1,PRUNED
49,49,0.040456459311313905,2021-05-03 19:55:13.580833,2021-05-03 20:01:23.949553,0 days 00:06:10.368720,32,10000,0.9,0,0.5995482267781678,0.003841922034164826,medium,0.005,300,COMPLETE
50,50,0.13682438802436903,2021-05-03 20:01:24.145533,2021-05-03 20:06:55.070007,0 days 00:05:30.924474,32,10000,0.9,0,0.756329310877867,0.00012200152487458455,medium,0.005,300,PRUNED
51,51,0.007481147874928668,2021-05-03 20:06:55.070251,2021-05-03 20:13:17.712695,0 days 00:06:22.642444,32,10000,0.9,0,0.12224269297003523,0.004099361954619971,medium,0.005,300,PRUNED
52,52,0.018337048043326087,2021-05-03 20:13:17.713000,2021-05-03 20:20:52.756660,0 days 00:07:35.043660,32,10000,0.9,0,0.5786812825201813,0.000681077393093864,medium,0.005,300,PRUNED
53,53,0.026563672447171637,2021-05-03 20:20:52.756995,2021-05-03 20:40:19.138057,0 days 00:19:26.381062,1024,10000,0.9,0,-0.1497051451071198,0.0016278129670430738,medium,0.005,300,PRUNED
54,54,0.01041615508525827,2021-05-03 20:40:19.138398,2021-05-03 20:47:37.883741,0 days 00:07:18.745343,16,10000,0.9999,0,0.33481706724426263,0.46359009765686293,medium,0.02,300,PRUNED
55,55,0.011673031505126589,2021-05-03 20:47:37.883966,2021-05-03 20:49:55.254195,0 days 00:02:17.370229,32,10000,0.99,10000,-0.5762332108392748,0.004295593487847675,big,0.05,10,PRUNED
56,56,0.01271486257157397,2021-05-03 20:49:55.254418,2021-05-03 20:52:28.519952,0 days 00:02:33.265534,2048,100000,0.95,20000,0.5190356808807325,0.05312026533583664,medium,0.005,1,PRUNED
57,57,0.02715365862879949,2021-05-03 20:52:28.520202,2021-05-03 21:00:06.438803,0 days 00:07:37.918601,256,1000000,0.9999,1000,0.9430708051837535,0.013414665270817553,medium,0.05,300,PRUNED
